<<<<<<< HEAD
[INFO ] [2022-02-22 22:56:06,733] Pre-Condition - STEP 01: Open browser 'firefox' and  navigate to 'https://demo.nopcommerce.com/' 
[INFO ] [2022-02-22 22:56:11,590] User_02_Login - Step 1: Click to Login link
[INFO ] [2022-02-22 22:56:12,311] User_02_Login - Step 2:Set login page cookie
[INFO ] [2022-02-22 22:56:18,262] User_02_Login - Step 2: Open home page
[INFO ] [2022-02-22 22:56:18,832] User_02_Login - Step 4: Verify My Account link is displayed
[INFO ] [2022-02-22 22:56:18,888]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-02-22 22:56:18,978] Post-Condition - STEP 01: Close browser
=======
[INFO ] [2022-02-20 21:38:09,934] Pre-Condition - STEP 01: Open browser 'firefox' and  navigate to 'https://demo.nopcommerce.com/' 
[INFO ] [2022-02-20 21:38:17,173] User_01_Register - Step 01: Click to register link
[INFO ] [2022-02-20 21:38:17,932] User_01_Register - Step 02: Enter to First Name textbox with value automation
[INFO ] [2022-02-20 21:38:18,019] User_01_Register - Step 03: Enter to Last Name textbox with value fc
[INFO ] [2022-02-20 21:38:18,078] User_01_Register - Step 04: Enter to Email textbox with value auto7976@mail.vn
[INFO ] [2022-02-20 21:38:18,152] User_01_Register - Step 05: Enter to Password textbox with value 123456
[INFO ] [2022-02-20 21:38:18,209] User_01_Register - Step 06: Enter to Confirm Password textbox with value 123456
[INFO ] [2022-02-20 21:38:18,263] User_01_Register - Step 07: Click to Register button
[INFO ] [2022-02-20 21:38:19,661] User_01_Register - Step 08: Verify success message displayed
[INFO ] [2022-02-20 21:38:19,729]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-02-20 21:38:19,730] User_01_Register - Step 09: Click to Logout link
[INFO ] [2022-02-20 21:38:20,662] User_02_Login - Step 1: Click to Login link
[INFO ] [2022-02-20 21:38:21,349] User_02_Login - Step 2: Enter to Email textbox with valueauto7976@mail.vn
[INFO ] [2022-02-20 21:38:21,436] User_02_Login - Step 3: Enter to Password textbox with value 123456
[INFO ] [2022-02-20 21:38:21,486] User_02_Login - Step 4: Click to Login Button
[INFO ] [2022-02-20 21:38:22,799] User_02_Login - Step 5: Verify My Account link is displayed
[INFO ] [2022-02-20 21:38:22,872]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-02-20 21:38:23,098] Post-Condition - STEP 01: Close browser
>>>>>>> branch 'master' of https://github.com/vuvietdung211/hybrid-framework-nopcommerce
